onset	duration	trial_type
3.441	20	263
3.703	20	786
5.377	20	257
6.017	20	257
6.703	20	788
6.703	20	306
6.737	20	257
11.073	20	257
13.121	20	257
14.769	20	257
15.729	20	257
17.489	20	257
18.945	20	257
22.465	20	257
22.704	20	1092
23.304	20	800
23.304	20	903
23.404	20	32768
27.602	20	803
27.602	20	905
27.602	20	834
27.602	20	33571
27.802	20	32768
28.203	20	1092
28.703	20	803
28.803	20	803
28.903	20	32768
31.415	20	807
31.415	20	903
31.415	20	838
31.515	20	33575
31.615	20	32768
32.016	20	1092
32.516	20	807
32.616	20	807
32.716	20	32768
35.602	20	805
35.602	20	902
35.602	20	838
35.602	20	33573
35.802	20	32768
36.203	20	1092
36.703	20	805
36.803	20	805
36.903	20	32768
40.202	20	801
40.202	20	906
40.202	20	835
40.302	20	33569
40.402	20	32768
40.803	20	1092
41.303	20	801
41.403	20	801
41.503	20	32768
44.878	20	804
44.878	20	906
44.878	20	839
44.878	20	33572
45.078	20	32768
45.479	20	1092
45.979	20	804
46.079	20	804
46.179	20	32768
47.802	20	802
47.802	20	906
47.802	20	835
47.902	20	33570
48.002	20	32768
48.403	20	1092
48.903	20	802
49.003	20	802
49.103	20	32768
52.552	20	806
52.552	20	907
52.552	20	837
52.552	20	33574
52.752	20	32768
53.153	20	1092
53.653	20	806
53.753	20	806
53.853	20	32768
53.853	20	907
56.002	20	806
56.002	20	838
56.202	20	32768
58.481	20	257
58.513	20	263
58.734	20	786
58.881	20	263
59.361	20	257
59.889	20	257
59.889	20	470
61.734	20	788
63.489	20	257
65.473	20	257
67.041	20	257
68.049	20	257
69.025	20	257
71.041	20	257
72.049	20	257
73.665	20	257
74.625	20	257
77.153	20	257
77.735	20	1092
78.235	20	806
78.335	20	806
78.435	20	32768
78.435	20	902
81.802	20	807
81.802	20	840
82.002	20	32768
82.403	20	1092
82.903	20	807
83.003	20	807
83.103	20	32768
83.103	20	902
84.202	20	805
84.202	20	840
84.402	20	32768
84.803	20	1092
85.303	20	805
85.403	20	805
85.503	20	32768
85.503	20	905
87.002	20	803
87.002	20	835
87.202	20	32768
87.603	20	1092
88.103	20	803
88.203	20	803
88.303	20	32768
88.303	20	908
90.802	20	804
90.802	20	840
91.002	20	32768
91.403	20	1092
91.903	20	804
92.003	20	804
92.103	20	32768
94.024	20	800
94.024	20	834
94.224	20	32768
94.625	20	1092
95.125	20	800
95.125	20	903
95.225	20	800
95.325	20	32768
95.325	20	908
96.802	20	801
96.802	20	834
97.002	20	32768
97.403	20	1092
97.903	20	801
98.003	20	801
98.103	20	32768
98.103	20	908
100.012	20	802
100.012	20	839
100.212	20	32768
100.613	20	1092
101.113	20	802
101.213	20	802
101.213	20	902
101.313	20	32768
103.402	20	807
103.402	20	837
103.602	20	32768
106.865	20	263
106.993	20	257
107.273	20	786
107.273	20	423
109.233	20	257
110.273	20	788
110.929	20	257
111.617	20	257
112.865	20	257
114.049	20	257
116.497	20	257
118.673	20	257
122.257	20	257
125.489	20	257
126.177	20	257
126.274	20	1092
126.774	20	807
126.874	20	807
